id,admin_level,admin_type,code,name_vi,name_en,parent_province_code,parent_district_id,slug,tokens,postal_codes,official_code,area_km2,population,source,last_updated_utc
VN.province.01,province,thanh_pho,01,Thành Phó Hà Nội,,,,thanh-pho-ha-noi,Thanh Pho Ha Noi;thanh pho ha noi;hn,,01,,,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/7/19ttg.signed.pdf,2025-08-09T13:59:46.812160Z
VN.province.04,province,tinh,04,Tỉnh Cao Bằng,,,,tinh-cao-bang,Tinh Cao Bang;tinh cao bang;cb,,04,,,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/7/19ttg.signed.pdf,2025-08-09T13:59:46.812160Z
VN.province.08,province,tinh,08,Tỉnh Tuyên Quang,,,,tinh-tuyen-quang,Tinh Tuyen Quang;tinh tuyen quang;tq,,08,,,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/7/19ttg.signed.pdf,2025-08-09T13:59:46.812160Z
VN.province.11,province,tinh,11,Tỉnh Điện Biển,,,,tinh-dien-bien,Tinh Dien Bien;tinh dien bien;db,,11,,,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/7/19ttg.signed.pdf,2025-08-09T13:59:46.812160Z
VN.province.12,province,tinh,12,Tỉnh Lai Châu,,,,tinh-lai-chau,Tinh Lai Chau;tinh lai chau;lc,,12,,,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/7/19ttg.signed.pdf,2025-08-09T13:59:46.812160Z
VN.province.14,province,tinh,14,Tỉnh Sơn La,,,,tinh-son-la,Tinh Son La;tinh son la;sl,,14,,,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/7/19ttg.signed.pdf,2025-08-09T13:59:46.812160Z
VN.province.15,province,tinh,15,Tỉnh Lào Cai,,,,tinh-lao-cai,Tinh Lao Cai;tinh lao cai;lc,,15,,,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/7/19ttg.signed.pdf,2025-08-09T13:59:46.812160Z
VN.province.19,province,tinh,19,Tỉnh Thái Nguyên,,,,tinh-thai-nguyen,Tinh Thai Nguyen;tinh thai nguyen;tn,,19,,,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/7/19ttg.signed.pdf,2025-08-09T13:59:46.812160Z
VN.province.20,province,tinh,20,Tỉnh Lạng Sơn,,,,tinh-lang-son,Tinh Lang Son;tinh lang son;ls,,20,,,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/7/19ttg.signed.pdf,2025-08-09T13:59:46.812160Z
VN.province.22,province,tinh,22,Tỉnh Quảng Ninh,,,,tinh-quang-ninh,Tinh Quang Ninh;tinh quang ninh;qn,,22,,,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/7/19ttg.signed.pdf,2025-08-09T13:59:46.812160Z
VN.province.24,province,tinh,24,Tỉnh Bắc Ninh,,,,tinh-bac-ninh,Tinh Bac Ninh;tinh bac ninh;bn,,24,,,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/7/19ttg.signed.pdf,2025-08-09T13:59:46.812160Z
VN.province.25,province,tinh,25,Tỉnh Phú Thọ,,,,tinh-phu-tho,Tinh Phu Tho;tinh phu tho;pt,,25,,,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/7/19ttg.signed.pdf,2025-08-09T13:59:46.812160Z
VN.province.31,province,thanh_pho,31,Thành Phó Hải Phòng,,,,thanh-pho-hai-phong,Thanh Pho Hai Phong;thanh pho hai phong;hp,,31,,,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/7/19ttg.signed.pdf,2025-08-09T13:59:46.812160Z
VN.province.33,province,tinh,33,Tỉnh Hưng Yên,,,,tinh-hung-yen,Tinh Hung Yen;tinh hung yen;hy,,33,,,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/7/19ttg.signed.pdf,2025-08-09T13:59:46.812160Z
VN.province.37,province,tinh,37,Tỉnh Ninh Bình,,,,tinh-ninh-binh,Tinh Ninh Binh;tinh ninh binh;nb,,37,,,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/7/19ttg.signed.pdf,2025-08-09T13:59:46.812160Z
VN.province.38,province,tinh,38,Tỉnh Thanh Hóa,,,,tinh-thanh-hoa,Tinh Thanh Hoa;tinh thanh hoa;h,,38,,,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/7/19ttg.signed.pdf,2025-08-09T13:59:46.812160Z
VN.province.40,province,tinh,40,Tỉnh Nghệ An,,,,tinh-nghe-an,Tinh Nghe An;tinh nghe an;na,,40,,,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/7/19ttg.signed.pdf,2025-08-09T13:59:46.812160Z
VN.province.42,province,tinh,42,Tỉnh Hà Tĩnh,,,,tinh-ha-tinh,Tinh Ha Tinh;tinh ha tinh;h,,42,,,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/7/19ttg.signed.pdf,2025-08-09T13:59:46.812160Z
VN.province.44,province,tinh,44,Tỉnh Quảng Trị,,,,tinh-quang-tri,Tinh Quang Tri;tinh quang tri;qt,,44,,,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/7/19ttg.signed.pdf,2025-08-09T13:59:46.812160Z
VN.province.46,province,thanh_pho,46,Thành Phó Huế,,,,thanh-pho-hue,Thanh Pho Hue;thanh pho hue;h,,46,,,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/7/19ttg.signed.pdf,2025-08-09T13:59:46.812160Z
